track_name,track_uri,rank,track_name1,first_artist,second_artist,year,track_name2,track_uri1,track_match,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri2,duration_ms,time_signature,key_mode
I Gotta Feeling,4vp2J1l5RD4gMZwGFLfRAu,29,I Gotta Feeling,"The Black Eyed Peas
",NA,2010,NA,NA,TRUE,0.741,0.748,C,-6.299,major,0.0264,0.0823,0,0.34,0.6,127.965,4vp2J1l5RD4gMZwGFLfRAu,289133,4,C major
Fireflies,3DamFFqW32WihKkTVlwTYQ,30,Fireflies,"Owl City
",NA,2010,NA,NA,TRUE,0.591,0.649,D#,-6.72,major,0.0417,0.0294,0,0.133,0.489,90.002,3DamFFqW32WihKkTVlwTYQ,228347,4,D# major
Say Aah  feat Fabolous,2fQ6sBFWaLv2Gxos4igHLy,31,Say Aah,Trey Songz ," Fabolous
",2010,NA,NA,TRUE,0.724,0.87,C#,-3.614,minor,0.113,0.00453,0,0.833,0.81,93.01,2fQ6sBFWaLv2Gxos4igHLy,207547,4,C# minor
Find Your Love,4BycRneKmOs6MhYG9THsuX,32,Find Your Love,"Drake
",NA,2010,NA,NA,TRUE,0.623,0.598,F#,-5.914,minor,0.167,0.0246,0,0.0324,0.822,96.081,4BycRneKmOs6MhYG9THsuX,208947,4,F# minor
Alejandro,15pu8u4n3q4BKl4tF20c5v,33,Alejandro,"Lady Gaga
",NA,2010,NA,NA,TRUE,0.632,0.789,B,-6.61,minor,0.0557,4.3e-4,0.00144,0.356,0.35,98.986,15pu8u4n3q4BKl4tF20c5v,274213,4,B minor
Ridin Solo,6BaxqcoEM9r3LXisTyJjST,34,Ridin Solo,"Jason Derulo
",NA,2010,NA,NA,TRUE,0.442,0.83,A,-4.02,major,0.146,0.128,0,0.129,0.578,89.338,6BaxqcoEM9r3LXisTyJjST,215747,4,A major
Just A Dream  Main,3ZdJffjzJWFimSQyxgGIxN,35,Just a Dream,"Nelly
",NA,2010,NA,NA,TRUE,0.554,0.764,C#,-6.129,major,0.031,0.0413,0,0.123,0.0991,90,3ZdJffjzJWFimSQyxgGIxN,237800,4,C# major
How Low,1WtTLtofvcjQM3sXSMkDdX,36,How Low,"Ludacris
",NA,2010,NA,NA,TRUE,0.56,0.494,C#,-6.935,major,0.111,0.00293,0,0.219,0.372,144.004,1WtTLtofvcjQM3sXSMkDdX,201587,4,C# major
Like A G6,4DvhkX2ic4zWkQeWMwQ2qf,37,Like a G6,Far East Movement ," The Cataracs and Dev
",2010,NA,NA,TRUE,0.352,0.843,G,-7.983,minor,0.482,0.00738,0,0.0883,0.727,165.29,4DvhkX2ic4zWkQeWMwQ2qf,216893,5,G minor
Carry Out Featuring Justin Timberlake,2DHc2e5bBn4UzY0ENVFrUl,38,Carry Out,Timbaland ," Justin Timberlake
",2010,NA,NA,TRUE,0.478,0.569,A#,-6.764,minor,0.148,0.117,0.0669,0.248,0.259,95.988,2DHc2e5bBn4UzY0ENVFrUl,232467,4,A# minor
Havent Met You Yet,4fIWvT19w9PR0VVBuPYpWA,39,Havent Met You Yet,"Michael Bublé
",NA,2010,NA,NA,TRUE,0.615,0.733,G#,-4.808,major,0.0335,0.152,0,0.109,0.796,122.58,4fIWvT19w9PR0VVBuPYpWA,244587,4,G# major
Club Cant Handle Me feat David Guetta  Feat David Guetta,6ebkx7Q5tTxrCxKq4GYj0Y,40,Club Cant Handle Me,Flo Rida ," David Guetta
",2010,NA,NA,TRUE,0.616,0.869,C,-3.911,major,0.0327,0.0283,0,0.064,0.473,127.966,6ebkx7Q5tTxrCxKq4GYj0Y,234560,4,C major
Down,7LP4Es66zdY7CyjepqmvAg,41,Down,Jay Sean ," Lil Wayne
",2010,NA,NA,TRUE,0.663,0.693,B,-4.505,minor,0.0311,0.0149,0,0.0778,0.71,66.002,7LP4Es66zdY7CyjepqmvAg,212107,4,B minor
Bulletproof,6lUY6MoqGgPnA27PHYxem5,42,Bulletproof,"La Roux
",NA,2010,NA,NA,TRUE,0.686,0.898,D#,-2.72,minor,0.052,6.98e-4,4.61e-5,0.0721,0.696,122.985,6lUY6MoqGgPnA27PHYxem5,205733,4,D# minor
